startpoint,endpoint,type
_36314_,_35603_,b
_36314_,_35635_,b
_36314_,_35667_,b
_36314_,_34726_,b
_36314_,_34468_,b
_36314_,_34727_,b
_36314_,_34500_,b
_36314_,_34724_,b
_36314_,_34467_,b
_36314_,_34738_,b
_36314_,_34770_,b
_36314_,_34802_,b
_36314_,_34834_,b
_36314_,_34866_,b
_36314_,_34898_,b
_36314_,_34930_,b
_36314_,_34962_,b
_36314_,_34994_,b
_36314_,_35026_,b
_36314_,_35058_,b
_36314_,_35090_,b
_36314_,_35122_,b
_36314_,_35154_,b
_36314_,_35186_,b
_36314_,_35218_,b
_36314_,_35250_,b
_36314_,_35282_,b
_36314_,_35314_,b
_36314_,_35346_,b
_36314_,_35378_,b
_36314_,_35410_,b
_36314_,_35442_,b
_36314_,_35474_,b
_36314_,_35506_,b
_36314_,_35538_,b
_36314_,_35570_,b
_36314_,_35602_,b
_36314_,_35634_,b
_36314_,_35666_,b
_36314_,_34465_,b
_36314_,_34498_,b
_36314_,_34725_,b
_36314_,_34526_,b
_36314_,_34723_,b
_36314_,_34722_,b
_36314_,_35693_,b
_36314_,_34464_,b
_36314_,_34492_,b
