startpoint,endpoint,type
_114299_,_114299_,c
_115641_,_115641_,c
_116600_,_116600_,c
_115644_,_115644_,c
_116599_,_116599_,c
_115642_,_115642_,c
_115765_,_115765_,c
_116726_,_116726_,c
_115643_,_115643_,c
_114295_,_116768_,b
_114295_,_116769_,b
_114295_,_116767_,b
_114295_,_115074_,b
_114295_,_115234_,b
_114295_,_115236_,b
_114295_,_115237_,b
_114295_,_116326_,b
_114295_,_117052_,b
_114295_,_116327_,b
_114295_,_115233_,b
_114295_,_117053_,b
_114295_,_115235_,b
_114295_,_114663_,b
_114295_,_115029_,b
_114295_,_114664_,b
_114295_,_114584_,b
_114295_,_115232_,b
_114295_,_115030_,b
_114295_,_114582_,b
_114295_,_116481_,b
_114295_,_114746_,b
_114295_,_116480_,b
_114295_,_114747_,b
_114295_,_115231_,b
_114295_,_114748_,b
_114295_,_117134_,b
_114295_,_114583_,b
_114295_,_114581_,b
_114295_,_117135_,b
_114295_,_116482_,b
_114295_,_114585_,b
_114295_,_114580_,b
_114295_,_116478_,b
_114295_,_116479_,b
_114295_,_114579_,b
_114295_,_114826_,b
_114295_,_114827_,b
_114295_,_114744_,b
_114295_,_114745_,b
_114295_,_115028_,b
_114295_,_115396_,b
_114295_,_115397_,b
_114295_,_115027_,b
_114295_,_116560_,b
_114295_,_116561_,b
_114295_,_115230_,b
_114295_,_116477_,b
_114295_,_117133_,b
_114295_,_116476_,b
_114295_,_117132_,b
_114295_,_114825_,b
_114295_,_115026_,b
_114295_,_115025_,b
_114295_,_117252_,b
_114295_,_114578_,b
_114295_,_115513_,b
_114295_,_117251_,b
_114295_,_114782_,b
_114295_,_114780_,b
_114295_,_114781_,b
_114295_,_113510_,b
_114295_,_115267_,b
_114295_,_115512_,b
_114295_,_115350_,b
_114295_,_116321_,b
_114295_,_114779_,b
_114295_,_115064_,b
_114295_,_117047_,b
_114295_,_114617_,b
_114295_,_114942_,b
_114295_,_113509_,b
_114295_,_114739_,b
_114295_,_114741_,b
_114295_,_114740_,b
_114295_,_115024_,b
_114295_,_115349_,b
_114295_,_115888_,b
_114295_,_116514_,b
_114295_,_116280_,b
_114295_,_115185_,b
_114295_,_116320_,b
_114295_,_117131_,b
_114295_,_116475_,b
_114295_,_117130_,b
_114295_,_116474_,b
_114295_,_117046_,b
_114295_,_114616_,b
_114295_,_114941_,b
_114295_,_115063_,b
_114295_,_115266_,b
_114295_,_114738_,b
_114295_,_116473_,b
_114295_,_115023_,b
_114295_,_115184_,b
_114295_,_115887_,b
_114295_,_116513_,b
_114295_,_116279_,b
_114295_,_117129_,b
_114295_,_117168_,b
_114295_,_115062_,b
_114295_,_116472_,b
_114295_,_116635_,b
_114295_,_114393_,b
_114295_,_116393_,b
_114295_,_115511_,b
_114295_,_114982_,b
_114295_,_117167_,b
_114295_,_116634_,b
_114295_,_117128_,b
_114295_,_117250_,b
_114295_,_115832_,b
_114295_,_114500_,b
_114295_,_115510_,b
_114295_,_114821_,b
_114295_,_115265_,b
_114295_,_117045_,b
_114295_,_114778_,b
_114295_,_115831_,b
_114295_,_115472_,b
_114295_,_114940_,b
_114295_,_114499_,b
_114295_,_113508_,b
_114295_,_115348_,b
_114295_,_116278_,b
_114295_,_115183_,b
_114295_,_114777_,b
_114295_,_114392_,b
_114295_,_114820_,b
_114295_,_114615_,b
_114295_,_117044_,b
_114295_,_115022_,b
_114295_,_115061_,b
_114295_,_116392_,b
_114295_,_114939_,b
_114295_,_116319_,b
_114295_,_116675_,b
_114295_,_115471_,b
_114295_,_113507_,b
_114295_,_115347_,b
_114295_,_116277_,b
_114295_,_117166_,b
_114295_,_116633_,b
_114295_,_114614_,b
_114295_,_116717_,b
_114295_,_114737_,b
_114295_,_116318_,b
_114295_,_115830_,b
_114295_,_115509_,b
_114295_,_115021_,b
_114295_,_115886_,b
_114295_,_116512_,b
_114295_,_117127_,b
_114295_,_116716_,b
_114295_,_114736_,b
_114295_,_116471_,b
_114295_,_114981_,b
_114295_,_115715_,b
_114295_,_115885_,b
_114295_,_116511_,b
_114295_,_117126_,b
_114295_,_116470_,b
_114295_,_114980_,b
_114295_,_117043_,b
_114295_,_116632_,b
_114295_,_116674_,b
_114295_,_114938_,b
_114295_,_116276_,b
_114295_,_115829_,b
_114295_,_117165_,b
_114295_,_115182_,b
_114295_,_116317_,b
_114295_,_115264_,b
_114295_,_115508_,b
_114295_,_115020_,b
_114295_,_114613_,b
_114295_,_115305_,b
_114295_,_116715_,b
_114295_,_114389_,b
_114295_,_115060_,b
_114295_,_115470_,b
_114295_,_114735_,b
_114295_,_116673_,b
_114295_,_117125_,b
_114295_,_115469_,b
_114295_,_114979_,b
_114295_,_116469_,b
_114295_,_115884_,b
_114295_,_114775_,b
_114295_,_115631_,b
_114295_,_117247_,b
_114295_,_117042_,b
_114295_,_115019_,b
_114295_,_116552_,b
_114295_,_114734_,b
_114295_,_114388_,b
_114295_,_114653_,b
_114295_,_114937_,b
_114295_,_114693_,b
_114295_,_115883_,b
_114295_,_117124_,b
_114295_,_114978_,b
_114295_,_116390_,b
_114295_,_115468_,b
_114295_,_115630_,b
_114295_,_114420_,b
_114295_,_114387_,b
_114295_,_116551_,b
_114295_,_115181_,b
_114295_,_117206_,b
_114295_,_115548_,b
_114295_,_115059_,b
_114295_,_115827_,b
_114295_,_115507_,b
_114295_,_115467_,b
_114295_,_116550_,b
_114295_,_115712_,b
_114295_,_114611_,b
_114295_,_116672_,b
_114295_,_116631_,b
_114295_,_116389_,d
_114295_,_114936_,b
_114295_,_115262_,d
_114295_,_117001_,b
_114295_,_116315_,b
_114295_,_116713_,b
_114295_,_114652_,b
_114295_,_114733_,b
_114295_,_114692_,b
_114295_,_116754_,b
_114295_,_117123_,b
_114295_,_115261_,b
_114295_,_115180_,d
_114295_,_114977_,b
_114295_,_115506_,b
_114295_,_117163_,d
_114295_,_116795_,b
_114295_,_117205_,b
_114295_,_115882_,b
_114295_,_115629_,b
_114295_,_116549_,b
_114295_,_114935_,b
_114295_,_115099_,b
_114295_,_115711_,b
_114295_,_114570_,b
_114295_,_115302_,b
_114295_,_115017_,b
_114295_,_114894_,b
_114295_,_117162_,c
_114295_,_115179_,d
_114295_,_114386_,b
_114295_,_116388_,c
_114295_,_115260_,c
_114295_,_116273_,b
_114295_,_115343_,b
_114295_,_116753_,b
_114295_,_114773_,b
_114295_,_114610_,b
_114295_,_116794_,d
_114295_,_117040_,b
_114295_,_117122_,b
_114295_,_116314_,b
_114295_,_114651_,b
_114295_,_113503_,b
_114295_,_116793_,c
_114295_,_114732_,b
_114295_,_115505_,d
_114295_,_115058_,b
_114295_,_116630_,b
_114295_,_114569_,b
_114295_,_114345_,b
_114295_,_115628_,c
_114295_,_115710_,c
_114295_,_115881_,b
_114295_,_114493_,b
_114295_,_114934_,c
_114295_,_116466_,b
_114295_,_116752_,c
_114295_,_116548_,b
_114295_,_117204_,b
_114295_,_115384_,b
_114295_,_116507_,b
_114295_,_115423_,c
_114295_,_114691_,d
_114295_,_115465_,d
_114295_,_115301_,c
_114295_,_117039_,c
_114295_,_114731_,c
_114295_,_114650_,c
_114295_,_117121_,c
_114295_,_116313_,c
_114295_,_115791_,c
_114295_,_116629_,c
_114295_,_115057_,c
_114295_,_115464_,c
_114295_,_116465_,c
_114295_,_117401_,c
_114295_,_114295_,c
_116768_,_116768_,c
_116724_,_116724_,c
_116728_,_116728_,c
_115764_,_115764_,c
_115645_,_115645_,c
_115190_,_115190_,c
_116930_,_116930_,c
_114990_,_114990_,c
_115639_,_115639_,c
_114294_,_115439_,b
_114294_,_117095_,b
_114294_,_117096_,b
_114294_,_115440_,b
